Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Type,Chrome 120.0.0.0,,,2024-01-12 13:27:33,2024-01-12 13:39:50,12m - 16.661s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC01_CreateProfile_Type,Chrome 120.0.0.0,,,2024-01-12 13:27:34,2024-01-12 13:29:32,1m - 58.709s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""email"":Email, ""zipcode"":ZipCode, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-12 13:27:34,2024-01-12 13:27:41,7.193s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Companion""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:27:41,2024-01-12 13:27:46,4.778s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:27:46,2024-01-12 13:27:46,0.070s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:27:46,2024-01-12 13:27:46,0.066s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 120.0.0.0,,,2024-01-12 13:27:46,2024-01-12 13:28:28,41.968s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 120.0.0.0,,,2024-01-12 13:28:28,2024-01-12 13:28:28,0.096s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 120.0.0.0,,,2024-01-12 13:28:28,2024-01-12 13:28:29,0.508s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:28:29,2024-01-12 13:28:29,0.094s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-12 13:28:29,2024-01-12 13:28:29,0.094s,PASSED
delay(20),Chrome 120.0.0.0,,,2024-01-12 13:28:29,2024-01-12 13:28:49,20.022s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 120.0.0.0,,,2024-01-12 13:28:49,2024-01-12 13:29:05,15.820s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.112s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.110s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.075s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.008s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.082s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.004s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.083s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.007s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:05,0.056s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-12 13:29:05,2024-01-12 13:29:07,2.261s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 120.0.0.0,,,2024-01-12 13:29:07,2024-01-12 13:29:09,1.673s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:29:09,2024-01-12 13:29:09,0.076s,PASSED
"click(findTestObject(""Calendar_page/Input_Start_Date""))",Chrome 120.0.0.0,,,2024-01-12 13:29:09,2024-01-12 13:29:09,0.130s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-12 13:29:09,2024-01-12 13:29:12,3.007s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_14""))",Chrome 120.0.0.0,,,2024-01-12 13:29:12,2024-01-12 13:29:12,0.144s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-12 13:29:12,2024-01-12 13:29:15,3.007s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 120.0.0.0,,,2024-01-12 13:29:15,2024-01-12 13:29:16,0.116s,PASSED
"click(findTestObject(""Calendar_page/busyDates/JanuaryBusyDate/div_17""))",Chrome 120.0.0.0,,,2024-01-12 13:29:16,2024-01-12 13:29:16,0.096s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:29:16,2024-01-12 13:29:18,2.013s,PASSED
"click(findTestObject(""Calendar_page/busyDates/JanuaryBusyDate/div_22""))",Chrome 120.0.0.0,,,2024-01-12 13:29:18,2024-01-12 13:29:18,0.124s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:29:18,2024-01-12 13:29:20,2.009s,PASSED
"click(findTestObject(""Calendar_page/div_day_Column""))",Chrome 120.0.0.0,,,2024-01-12 13:29:20,2024-01-12 13:29:20,0.090s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_From""), ""01:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-12 13:29:20,2024-01-12 13:29:20,0.163s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:29:20,2024-01-12 13:29:22,2.004s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_To""), ""04:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-12 13:29:22,2024-01-12 13:29:22,0.158s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:29:22,2024-01-12 13:29:24,2.014s,PASSED
"click(findTestObject(""Calendar_page/button_Save""))",Chrome 120.0.0.0,,,2024-01-12 13:29:24,2024-01-12 13:29:24,0.098s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:29:24,2024-01-12 13:29:26,2.006s,PASSED
"click(findTestObject(""Calendar_page/Button_Next (1)""))",Chrome 120.0.0.0,,,2024-01-12 13:29:26,2024-01-12 13:29:26,0.124s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-12 13:29:27,2024-01-12 13:29:30,3.009s,PASSED
"click(findTestObject(""Calendar_page/button_Ok""))",Chrome 120.0.0.0,,,2024-01-12 13:29:30,2024-01-12 13:29:30,0.120s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:29:30,2024-01-12 13:29:32,2.016s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-12 13:29:32,2024-01-12 13:29:32,0.589s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC01_CreateProfile_Type,Chrome 120.0.0.0,,,2024-01-12 13:29:32,2024-01-12 13:31:19,1m - 46.504s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""email"":Email, ""zipcode"":ZipCode, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-12 13:29:32,2024-01-12 13:29:38,5.921s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Companion""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:29:38,2024-01-12 13:29:43,5.074s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:29:43,2024-01-12 13:29:43,0.029s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:29:43,2024-01-12 13:29:44,0.028s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 120.0.0.0,,,2024-01-12 13:29:44,2024-01-12 13:30:26,42.076s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 120.0.0.0,,,2024-01-12 13:30:26,2024-01-12 13:30:26,0.057s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 120.0.0.0,,,2024-01-12 13:30:26,2024-01-12 13:30:26,0.430s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:30:26,2024-01-12 13:30:26,0.033s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-12 13:30:26,2024-01-12 13:30:26,0.059s,PASSED
delay(20),Chrome 120.0.0.0,,,2024-01-12 13:30:26,2024-01-12 13:30:46,20.010s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 120.0.0.0,,,2024-01-12 13:30:46,2024-01-12 13:30:53,6.411s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.036s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.001s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.038s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.001s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.037s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.001s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.034s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.001s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:53,0.034s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-12 13:30:53,2024-01-12 13:30:55,2.152s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 120.0.0.0,,,2024-01-12 13:30:55,2024-01-12 13:30:57,1.629s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 120.0.0.0,,,2024-01-12 13:30:57,2024-01-12 13:30:57,0.037s,PASSED
"click(findTestObject(""Calendar_page/Input_Start_Date""))",Chrome 120.0.0.0,,,2024-01-12 13:30:57,2024-01-12 13:30:57,0.071s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-12 13:30:57,2024-01-12 13:31:00,3.006s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_14""))",Chrome 120.0.0.0,,,2024-01-12 13:31:00,2024-01-12 13:31:00,0.080s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-12 13:31:00,2024-01-12 13:31:03,3.016s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 120.0.0.0,,,2024-01-12 13:31:03,2024-01-12 13:31:03,0.083s,PASSED
"click(findTestObject(""Calendar_page/busyDates/JanuaryBusyDate/div_17""))",Chrome 120.0.0.0,,,2024-01-12 13:31:03,2024-01-12 13:31:03,0.071s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:31:03,2024-01-12 13:31:05,2.002s,PASSED
"click(findTestObject(""Calendar_page/busyDates/JanuaryBusyDate/div_22""))",Chrome 120.0.0.0,,,2024-01-12 13:31:05,2024-01-12 13:31:05,0.086s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:31:05,2024-01-12 13:31:07,2.016s,PASSED
"click(findTestObject(""Calendar_page/div_day_Column""))",Chrome 120.0.0.0,,,2024-01-12 13:31:07,2024-01-12 13:31:07,0.068s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_From""), ""01:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-12 13:31:07,2024-01-12 13:31:07,0.078s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:31:07,2024-01-12 13:31:09,2.014s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_To""), ""04:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-12 13:31:09,2024-01-12 13:31:09,0.074s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:31:09,2024-01-12 13:31:11,2.014s,PASSED
"click(findTestObject(""Calendar_page/button_Save""))",Chrome 120.0.0.0,,,2024-01-12 13:31:11,2024-01-12 13:31:11,0.069s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:31:11,2024-01-12 13:31:13,2.004s,PASSED
"click(findTestObject(""Calendar_page/Button_Next (1)""))",Chrome 120.0.0.0,,,2024-01-12 13:31:13,2024-01-12 13:31:13,0.056s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-12 13:31:13,2024-01-12 13:31:16,3.003s,PASSED
"click(findTestObject(""Calendar_page/button_Ok""))",Chrome 120.0.0.0,,,2024-01-12 13:31:16,2024-01-12 13:31:16,0.085s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-12 13:31:16,2024-01-12 13:31:18,2.012s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-12 13:31:18,2024-01-12 13:31:19,0.405s,PASSED
,,,,,,,
