Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Type,Chrome 120.0.0.0,,,2024-01-19 14:32:17,2024-01-19 14:43:42,11m - 25.276s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC01_CreateProfile_Type,Chrome 120.0.0.0,,,2024-01-19 14:32:17,2024-01-19 14:34:19,2m - 1.198s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""email"":Email, ""zipcode"":ZipCode, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-19 14:32:18,2024-01-19 14:32:25,7.007s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Companion""), 0)",Chrome 120.0.0.0,,,2024-01-19 14:32:25,2024-01-19 14:32:30,5.461s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 120.0.0.0,,,2024-01-19 14:32:30,2024-01-19 14:32:30,0.080s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 120.0.0.0,,,2024-01-19 14:32:30,2024-01-19 14:32:30,0.065s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 120.0.0.0,,,2024-01-19 14:32:30,2024-01-19 14:33:12,42.004s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 120.0.0.0,,,2024-01-19 14:33:12,2024-01-19 14:33:12,0.098s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 120.0.0.0,,,2024-01-19 14:33:12,2024-01-19 14:33:13,0.500s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 120.0.0.0,,,2024-01-19 14:33:13,2024-01-19 14:33:13,0.071s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-19 14:33:13,2024-01-19 14:33:13,0.110s,PASSED
delay(20),Chrome 120.0.0.0,,,2024-01-19 14:33:13,2024-01-19 14:33:33,20.026s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 120.0.0.0,,,2024-01-19 14:33:33,2024-01-19 14:33:51,17.947s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:51,0.094s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:51,0.103s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:51,0.066s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:51,0.004s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:51,0.073s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:51,0.005s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:51,0.067s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:51,0.007s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 120.0.0.0,,,2024-01-19 14:33:51,2024-01-19 14:33:52,0.055s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-19 14:33:52,2024-01-19 14:33:54,2.287s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 120.0.0.0,,,2024-01-19 14:33:54,2024-01-19 14:33:56,1.670s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 120.0.0.0,,,2024-01-19 14:33:56,2024-01-19 14:33:56,0.083s,PASSED
"click(findTestObject(""Calendar_page/Input_Start_Date""))",Chrome 120.0.0.0,,,2024-01-19 14:33:56,2024-01-19 14:33:56,0.099s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-19 14:33:56,2024-01-19 14:33:59,3.015s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_20""))",Chrome 120.0.0.0,,,2024-01-19 14:33:59,2024-01-19 14:33:59,0.135s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-19 14:33:59,2024-01-19 14:34:02,3.018s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 120.0.0.0,,,2024-01-19 14:34:02,2024-01-19 14:34:02,0.113s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_23""))",Chrome 120.0.0.0,,,2024-01-19 14:34:02,2024-01-19 14:34:02,0.097s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 14:34:02,2024-01-19 14:34:04,2.022s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_24""))",Chrome 120.0.0.0,,,2024-01-19 14:34:04,2024-01-19 14:34:04,0.100s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 14:34:04,2024-01-19 14:34:06,2.015s,PASSED
"click(findTestObject(""Calendar_page/div_day_Column""))",Chrome 120.0.0.0,,,2024-01-19 14:34:06,2024-01-19 14:34:06,0.105s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_From""), ""01:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-19 14:34:06,2024-01-19 14:34:06,0.133s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 14:34:06,2024-01-19 14:34:08,2.010s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_To""), ""04:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-19 14:34:08,2024-01-19 14:34:09,0.128s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 14:34:09,2024-01-19 14:34:11,2.018s,PASSED
"click(findTestObject(""Calendar_page/button_Save""))",Chrome 120.0.0.0,,,2024-01-19 14:34:11,2024-01-19 14:34:11,0.124s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 14:34:11,2024-01-19 14:34:13,2.018s,PASSED
"click(findTestObject(""Calendar_page/Button_Next (1)""))",Chrome 120.0.0.0,,,2024-01-19 14:34:13,2024-01-19 14:34:13,0.117s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-19 14:34:13,2024-01-19 14:34:16,3.009s,PASSED
"click(findTestObject(""Calendar_page/button_Ok""))",Chrome 120.0.0.0,,,2024-01-19 14:34:16,2024-01-19 14:34:16,0.110s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 14:34:16,2024-01-19 14:34:18,2.009s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-19 14:34:18,2024-01-19 14:34:19,0.542s,PASSED
,,,,,,,
