Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Companion_Type,Chrome 120.0.0.0,,,2024-01-19 15:09:02,2024-01-19 15:21:35,12m - 33.399s,PASSED
,,,,,,,
Test Cases/Companion_TestCases/TC06_CreateProfile_Type,Chrome 120.0.0.0,,,2024-01-19 15:09:02,2024-01-19 15:11:11,2m - 8.833s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Companion_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-19 15:09:03,2024-01-19 15:09:10,7.343s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 120.0.0.0,,,2024-01-19 15:09:10,2024-01-19 15:09:15,4.944s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 120.0.0.0,,,2024-01-19 15:09:15,2024-01-19 15:09:15,0.040s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 120.0.0.0,,,2024-01-19 15:09:15,2024-01-19 15:09:15,0.041s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 120.0.0.0,,,2024-01-19 15:09:15,2024-01-19 15:09:58,42.869s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 120.0.0.0,,,2024-01-19 15:09:58,2024-01-19 15:09:58,0.090s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 120.0.0.0,,,2024-01-19 15:09:58,2024-01-19 15:09:59,0.760s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 120.0.0.0,,,2024-01-19 15:09:59,2024-01-19 15:09:59,0.067s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-19 15:09:59,2024-01-19 15:09:59,0.089s,PASSED
delay(45),Chrome 120.0.0.0,,,2024-01-19 15:09:59,2024-01-19 15:10:44,45.021s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.067s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.053s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.053s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.002s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.051s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.003s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.061s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.004s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:44,0.046s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-19 15:10:44,2024-01-19 15:10:47,2.319s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 120.0.0.0,,,2024-01-19 15:10:47,2024-01-19 15:10:48,1.684s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 120.0.0.0,,,2024-01-19 15:10:48,2024-01-19 15:10:48,0.047s,PASSED
"click(findTestObject(""Calendar_page/Input_Start_Date""))",Chrome 120.0.0.0,,,2024-01-19 15:10:48,2024-01-19 15:10:48,0.131s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-19 15:10:48,2024-01-19 15:10:51,3.021s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_20""))",Chrome 120.0.0.0,,,2024-01-19 15:10:51,2024-01-19 15:10:52,0.111s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-19 15:10:52,2024-01-19 15:10:55,3.014s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 120.0.0.0,,,2024-01-19 15:10:55,2024-01-19 15:10:55,0.130s,PASSED
"click(findTestObject(""Calendar_page/busyDates/JanuaryBusyDate/div_23""))",Chrome 120.0.0.0,,,2024-01-19 15:10:55,2024-01-19 15:10:55,0.143s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 15:10:55,2024-01-19 15:10:57,2.012s,PASSED
"click(findTestObject(""Calendar_page/busyDates/JanuaryBusyDate/div_24""))",Chrome 120.0.0.0,,,2024-01-19 15:10:57,2024-01-19 15:10:57,0.107s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 15:10:57,2024-01-19 15:10:59,2.015s,PASSED
"click(findTestObject(""Calendar_page/div_day_Column""))",Chrome 120.0.0.0,,,2024-01-19 15:10:59,2024-01-19 15:10:59,0.092s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_From""), ""01:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-19 15:10:59,2024-01-19 15:10:59,0.146s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 15:10:59,2024-01-19 15:11:01,2.006s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_To""), ""04:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-19 15:11:01,2024-01-19 15:11:01,0.110s,PASSED
