Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Speak,Chrome 121.0.0.0,,,06-02-2024 10:29:15,06-02-2024 10:31:57,2m - 42.872s,ERROR
,,,,,,,
Test Cases/Senior_TestCases/TC02_CreateProfile_Speak,Chrome 121.0.0.0,,,06-02-2024 10:29:15,06-02-2024 10:31:56,2m - 40.677s,ERROR
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 10:29:16,06-02-2024 10:29:25,9.461s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 10)",Chrome 121.0.0.0,,,06-02-2024 10:29:25,06-02-2024 10:29:30,5.334s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 10)",Chrome 121.0.0.0,,,06-02-2024 10:29:30,06-02-2024 10:29:31,0.086s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 121.0.0.0,,,06-02-2024 10:29:31,06-02-2024 10:30:19,48.799s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 121.0.0.0,,,06-02-2024 10:30:19,06-02-2024 10:30:20,0.215s,PASSED
try,Chrome 121.0.0.0,,,06-02-2024 10:30:20,06-02-2024 10:30:37,17.464s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 121.0.0.0,,,06-02-2024 10:30:37,06-02-2024 10:30:37,0.165s,PASSED
"scrollToElement(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 121.0.0.0,,,06-02-2024 10:30:37,06-02-2024 10:30:37,0.123s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 60)",Chrome 121.0.0.0,,,06-02-2024 10:30:37,06-02-2024 10:30:53,15.187s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 121.0.0.0,,,06-02-2024 10:30:53,06-02-2024 10:30:53,0.143s,PASSED
delay(20),Chrome 121.0.0.0,,,06-02-2024 10:30:53,06-02-2024 10:31:13,20.020s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.091s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.086s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.071s,PASSED
"FamilyAndCommunity = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Family_And_Community_Involvement""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.258s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""FAMILYANDCOMMUNITY"", FamilyAndCommunity, FamilyAndCommunityNew)",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.002s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.137s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.005s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.066s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.004s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.057s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:13,0.002s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 121.0.0.0,,,06-02-2024 10:31:13,06-02-2024 10:31:14,0.148s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 121.0.0.0,,,06-02-2024 10:31:14,06-02-2024 10:31:16,2.280s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 121.0.0.0,,,06-02-2024 10:31:16,06-02-2024 10:31:16,0.071s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 121.0.0.0,,,06-02-2024 10:31:16,06-02-2024 10:31:29,13.356s,PASSED
"click(findTestObject(""Calendar_page/Input_Start_Date""))",Chrome 121.0.0.0,,,06-02-2024 10:31:29,06-02-2024 10:31:32,2.260s,PASSED
delay(3),Chrome 121.0.0.0,,,06-02-2024 10:31:32,06-02-2024 10:31:35,3.022s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_20""))",Chrome 121.0.0.0,,,06-02-2024 10:31:35,06-02-2024 10:31:35,0.151s,PASSED
delay(3),Chrome 121.0.0.0,,,06-02-2024 10:31:35,06-02-2024 10:31:38,3.013s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 121.0.0.0,,,06-02-2024 10:31:38,06-02-2024 10:31:38,0.197s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_23""))",Chrome 121.0.0.0,,,06-02-2024 10:31:38,06-02-2024 10:31:38,0.127s,PASSED
delay(2),Chrome 121.0.0.0,,,06-02-2024 10:31:38,06-02-2024 10:31:40,2.019s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_24""))",Chrome 121.0.0.0,,,06-02-2024 10:31:40,06-02-2024 10:31:40,0.134s,PASSED
delay(2),Chrome 121.0.0.0,,,06-02-2024 10:31:40,06-02-2024 10:31:42,2.013s,PASSED
"click(findTestObject(""Calendar_page/div_day_Column""))",Chrome 121.0.0.0,,,06-02-2024 10:31:42,06-02-2024 10:31:42,0.147s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_From""), ""01:30 PM"", false)",Chrome 121.0.0.0,,,06-02-2024 10:31:42,06-02-2024 10:31:43,0.182s,PASSED
delay(2),Chrome 121.0.0.0,,,06-02-2024 10:31:43,06-02-2024 10:31:45,2.012s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_To""), ""04:30 PM"", false)",Chrome 121.0.0.0,,,06-02-2024 10:31:45,06-02-2024 10:31:45,0.147s,PASSED
delay(2),Chrome 121.0.0.0,,,06-02-2024 10:31:45,06-02-2024 10:31:47,2.005s,PASSED
"click(findTestObject(""Calendar_page/button_Save""))",Chrome 121.0.0.0,,,06-02-2024 10:31:47,06-02-2024 10:31:47,0.133s,PASSED
delay(2),Chrome 121.0.0.0,,,06-02-2024 10:31:47,06-02-2024 10:31:49,2.021s,PASSED
"click(findTestObject(""Calendar_page/Button_Next (1)""))",Chrome 121.0.0.0,,,06-02-2024 10:31:49,06-02-2024 10:31:49,0.128s,PASSED
delay(3),Chrome 121.0.0.0,,,06-02-2024 10:31:49,06-02-2024 10:31:52,3.022s,PASSED
"click(findTestObject(""Calendar_page/button_Ok""))",Chrome 121.0.0.0,,,06-02-2024 10:31:52,06-02-2024 10:31:52,0.183s,PASSED
delay(2),Chrome 121.0.0.0,,,06-02-2024 10:31:52,06-02-2024 10:31:54,2.009s,PASSED
"callTestCase(findTestCase(""Senior_TestCases/TC06_SeniorDemographic""), [""UserName"":UserName, ""ZipCode"":ZipCode, ""Email"":Email, ""Password"":Password, ""EducationNew"":EducationNew, ""FamilyAndCommunityNew"":FamilyAndCommunityNew, ... ], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 10:31:54,06-02-2024 10:31:56,1.484s,ERROR
,,,,,,,
Test Cases/Senior_TestCases/TC05_ReRecord_Speak,Chrome 121.0.0.0,,,06-02-2024 10:31:56,06-02-2024 10:31:57,1.597s,ERROR
"callTestCase(findTestCase(""Common_TestCases/Sign_In""), [""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 10:31:57,06-02-2024 10:31:57,0.377s,ERROR
