Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Speak,Chrome 121.0.0.0,,,12-02-2024 11:32:08,12-02-2024 11:35:37,3m - 28.833s,FAILED
,,,,,,,
Test Cases/Senior_TestCases/TC02_CreateProfile_Speak,Chrome 121.0.0.0,,,12-02-2024 11:32:08,12-02-2024 11:35:23,3m - 15.212s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,12-02-2024 11:32:09,12-02-2024 11:32:17,7.897s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 10)",Chrome 121.0.0.0,,,12-02-2024 11:32:17,12-02-2024 11:32:22,5.365s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 10)",Chrome 121.0.0.0,,,12-02-2024 11:32:22,12-02-2024 11:32:22,0.051s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 121.0.0.0,,,12-02-2024 11:32:22,12-02-2024 11:33:11,48.709s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 121.0.0.0,,,12-02-2024 11:33:11,12-02-2024 11:33:11,0.103s,PASSED
try,Chrome 121.0.0.0,,,12-02-2024 11:33:11,12-02-2024 11:34:12,1m - 0.870s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 121.0.0.0,,,12-02-2024 11:34:12,12-02-2024 11:34:12,0.080s,PASSED
"scrollToElement(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 121.0.0.0,,,12-02-2024 11:34:12,12-02-2024 11:34:12,0.065s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 60)",Chrome 121.0.0.0,,,12-02-2024 11:34:12,12-02-2024 11:34:30,17.969s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 121.0.0.0,,,12-02-2024 11:34:30,12-02-2024 11:34:30,0.084s,PASSED
delay(20),Chrome 121.0.0.0,,,12-02-2024 11:34:30,12-02-2024 11:34:50,20.018s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 121.0.0.0,,,12-02-2024 11:34:50,12-02-2024 11:34:51,1.115s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.054s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.053s,PASSED
"FamilyAndCommunity = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Family_And_Community_Involvement""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.053s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""FAMILYANDCOMMUNITY"", FamilyAndCommunity, FamilyAndCommunityNew)",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.001s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.048s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.003s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.049s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.001s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.039s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.005s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:51,0.040s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 121.0.0.0,,,12-02-2024 11:34:51,12-02-2024 11:34:54,2.178s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 121.0.0.0,,,12-02-2024 11:34:54,12-02-2024 11:34:56,2.146s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 121.0.0.0,,,12-02-2024 11:34:56,12-02-2024 11:34:56,0.043s,PASSED
"click(findTestObject(""Calendar_page/Input_Start_Date""))",Chrome 121.0.0.0,,,12-02-2024 11:34:56,12-02-2024 11:34:56,0.090s,PASSED
delay(3),Chrome 121.0.0.0,,,12-02-2024 11:34:56,12-02-2024 11:34:59,3.016s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_20""))",Chrome 121.0.0.0,,,12-02-2024 11:34:59,12-02-2024 11:34:59,0.137s,PASSED
delay(3),Chrome 121.0.0.0,,,12-02-2024 11:34:59,12-02-2024 11:35:02,3.005s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 121.0.0.0,,,12-02-2024 11:35:02,12-02-2024 11:35:02,0.090s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_23""))",Chrome 121.0.0.0,,,12-02-2024 11:35:02,12-02-2024 11:35:02,0.106s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:35:02,12-02-2024 11:35:04,2.012s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_24""))",Chrome 121.0.0.0,,,12-02-2024 11:35:04,12-02-2024 11:35:04,0.093s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:35:04,12-02-2024 11:35:06,2.009s,PASSED
"click(findTestObject(""Calendar_page/div_day_Column""))",Chrome 121.0.0.0,,,12-02-2024 11:35:06,12-02-2024 11:35:07,0.098s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_From""), ""01:30 PM"", false)",Chrome 121.0.0.0,,,12-02-2024 11:35:07,12-02-2024 11:35:07,0.130s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:35:07,12-02-2024 11:35:09,2.019s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_To""), ""04:30 PM"", false)",Chrome 121.0.0.0,,,12-02-2024 11:35:09,12-02-2024 11:35:09,0.129s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:35:09,12-02-2024 11:35:11,2.015s,PASSED
"click(findTestObject(""Calendar_page/button_Save""))",Chrome 121.0.0.0,,,12-02-2024 11:35:11,12-02-2024 11:35:11,0.103s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:35:11,12-02-2024 11:35:13,2.011s,PASSED
"click(findTestObject(""Calendar_page/Button_Next (1)""))",Chrome 121.0.0.0,,,12-02-2024 11:35:13,12-02-2024 11:35:13,0.089s,PASSED
delay(3),Chrome 121.0.0.0,,,12-02-2024 11:35:13,12-02-2024 11:35:16,3.015s,PASSED
"click(findTestObject(""Calendar_page/button_Ok""))",Chrome 121.0.0.0,,,12-02-2024 11:35:16,12-02-2024 11:35:16,0.108s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:35:16,12-02-2024 11:35:18,2.010s,PASSED
"callTestCase(findTestCase(""Senior_TestCases/TC06_SeniorDemographic""), [""UserName"":UserName, ""ZipCode"":ZipCode, ""Email"":Email, ""Password"":Password, ""EducationNew"":EducationNew, ""FamilyAndCommunityNew"":FamilyAndCommunityNew, ... ], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,12-02-2024 11:35:18,12-02-2024 11:35:23,5.264s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC05_ReRecord_Speak,Chrome 121.0.0.0,,,12-02-2024 11:35:24,12-02-2024 11:35:37,13.028s,FAILED
"callTestCase(findTestCase(""Common_TestCases/Senior_Sign_In""), [""email"":"""", ""password"":""""], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,12-02-2024 11:35:24,12-02-2024 11:35:31,6.519s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 11:35:31,12-02-2024 11:35:36,5.015s,PASSED
"scrollToElement(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""), 0)",Chrome 121.0.0.0,,,12-02-2024 11:35:36,12-02-2024 11:35:36,0.062s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 121.0.0.0,,,12-02-2024 11:35:36,12-02-2024 11:35:37,0.859s,FAILED
